plot;abbr;layer;cov;comment;determined;history
Niklfeld1979:IX:9;glob cord;hl;+;;;
Niklfeld1979:IX:9;teuc mont;hl;1;;;
Niklfeld1979:IX:9;heli canu;hl;1;;;
Niklfeld1979:IX:9;euph saxa;hl;+;;;
Niklfeld1979:IX:9;amel oval;hl;+;;;
Niklfeld1979:IX:9;sese aust;hl;+;;;
Niklfeld1979:IX:9;jovi glob hirt;hl;+;;;
Niklfeld1979:IX:9;anth ramo;hl;1;;;
Niklfeld1979:IX:9;sesl caer;hl;1;;;
Niklfeld1979:IX:9;thym prae poly;hl;2;;cf.;
Niklfeld1979:IX:9;aspe cyna;hl;+;;;
Niklfeld1979:IX:10;lase sile sile;hl;+;;;
Niklfeld1979:IX:10;glob cord;hl;2;;;
Niklfeld1979:IX:10;teuc mont;hl;1;;;
Niklfeld1979:IX:10;heli canu;hl;+;;;
Niklfeld1979:IX:10;euph saxa;hl;+;;;
Niklfeld1979:IX:10;onos visi;hl;+;;;
Niklfeld1979:IX:10;hier bupl;hl;+;;cf.;
Niklfeld1979:IX:10;thal minu slat;hl;1;;;
Niklfeld1979:IX:10;sese aust;hl;+;;;
Niklfeld1979:IX:10;jovi glob hirt;hl;1;;;
Niklfeld1979:IX:10;anth ramo;hl;+;;;
Niklfeld1979:IX:10;sesl caer;hl;+;;;
Niklfeld1979:IX:10;thym prae poly;hl;+;;cf.;
Niklfeld1979:IX:10;alli lusi;hl;1;;;
Niklfeld1979:IX:10;vinc hiru;hl;1;;;
Niklfeld1979:IX:10;aspe cyna;hl;+;;;
