plot;variable;value
Niklfeld1979:IX:9;cov;10
Niklfeld1979:IX:9;tcov;0
Niklfeld1979:IX:9;scov;0
Niklfeld1979:IX:9;hcov;10
Niklfeld1979:IX:9;mcov;0
Niklfeld1979:IX:9;htl;0
Niklfeld1979:IX:9;hsl;0
Niklfeld1979:IX:9;hhl1;0,5
Niklfeld1979:IX:9;hhl2;0
Niklfeld1979:IX:9;expo;S
Niklfeld1979:IX:9;slope;10
Niklfeld1979:IX:9;plsx;1
Niklfeld1979:IX:9;plsy;1,5
Niklfeld1979:IX:9;date;01.01.79
Niklfeld1979:IX:9;ibex;no
Niklfeld1979:IX:9;rupi;no
Niklfeld1979:IX:9;soil;shallow
Niklfeld1979:IX:9;rock.type;precipice
Niklfeld1979:IX:9;rock.soil.verbose;unbekannt
Niklfeld1979:IX:9;location.verbose;Grillenberger Tal bei Berndorf, Tabelle 9, Niklfeld 1979, Aufnahme 9
Niklfeld1979:IX:9;longitude;16.035550E
Niklfeld1979:IX:9;latitude;47.916490N
Niklfeld1979:IX:10;cov;10
Niklfeld1979:IX:10;tcov;0
Niklfeld1979:IX:10;scov;0
Niklfeld1979:IX:10;hcov;10
Niklfeld1979:IX:10;mcov;0
Niklfeld1979:IX:10;htl;0
Niklfeld1979:IX:10;hsl;0
Niklfeld1979:IX:10;hhl1;0,5
Niklfeld1979:IX:10;hhl2;0
Niklfeld1979:IX:10;expo;SE
Niklfeld1979:IX:10;slope;35
Niklfeld1979:IX:10;plsx;1
Niklfeld1979:IX:10;plsy;1,5
Niklfeld1979:IX:10;date;01.01.79
Niklfeld1979:IX:10;ibex;no
Niklfeld1979:IX:10;rupi;no
Niklfeld1979:IX:10;soil;shallow
Niklfeld1979:IX:10;rock.type;precipice
Niklfeld1979:IX:10;rock.soil.verbose;unbekannt
Niklfeld1979:IX:10;location.verbose;Grillenberger Tal bei Berndorf, Tabelle 9, Niklfeld 1979, Aufnahme 10
Niklfeld1979:IX:10;longitude;16.035550E
Niklfeld1979:IX:10;latitude;47.916490N
