plot,municipality,locality,gridcell
091,Johnsbach, Zinödl gr. Speikboden, 8453/2
391,Johnsbach,Stadelfeldsattel,8453/4
458,Johnsbach,Rotofen W-Hang,8453/2
449,Johnsbach,Zinödl gr. Speikboden,8453/2
