plot;date;plsx;plsy;expo;slope;cov;t1cov;t2cov;scov;hcov;mcov;rock;stones;bare;htl1;htl2;hsl;hhl1;hhl2;latitude;longitude;accuracy;elevation;location;comment;soil;alliance;suballiance;association
se11;2014-06-03;;;;;;;;;;;;;;;;;;;47.840119N;14.552208E;14;990;;et11;;Fagion sylvaticae Luquet 1926;Lonicero alpigenae-Fagenion Borhidi ex Soó 1964;Adenostylo glabrae-Fagetum Moor 1970 -calamagrostietosum variae (Zukrigl 1973) Willner 2007
se12;2014-06-03;;;;;;;;;;;;;;;;;;;47.841536N;14.550832E;7;945;;et12;;Fagion sylvaticae Luquet 1926;Lonicero alpigenae-Fagenion Borhidi ex Soó 1964;Adenostylo glabrae-Fagetum Moor 1970 -helleboretosum nigri Willner 2007
se13;2014-06-03;;;;;;;;;;;;;;;;;;;47.840935N;14.547066E;15;865;;et13;;Tilio-Acerion Klika 1955;Lunario-Acerenion pseudoplatani (Moor 1973) Müller 1992;Phyllitido-Aceretum Moor 1945
se14;2014-06-03;;;;;;;;;;;;;;;;;;;47.824737N;14.539011E;7;780;;et14;;Tilio-Acerion Klika 1955;Lunario-Acerenion pseudoplatani (Moor 1973) Müller 1992;Carici pendulae-Aceretum (Etter 1947) Oberd. 1957
se15;2014-06-03;;;;;;;;;;;;;;;;;;;47.823412N;14.537894E;10;720;;et15;;Tilio-Acerion Klika 1955;Lunario-Acerenion pseudoplatani (Moor 1973) Müller 1992;Carici pendulae-Aceretum (Etter 1947) Oberd. 1957
se16;2014-06-03;;;;;;;;;;;;;;;;;;;47.922776N;14.377096E;5;560;;et16;;Carpinion betuli Issler 1931;;Galio sylvatici-Carpinetum Oberd. 1957 -brachypodietosum sylvatici Mayer 1974
se17;2014-06-04;;;;;;;;;;;;;;;;;;;47.924280N;14.375198E;10;500;;et17;;Carpinion betuli Issler 1931;;Galio sylvatici-Carpinetum Oberd. 1957 -brachypodietosum sylvatici Mayer 1974
se18;2014-06-04;;;;;;;;;;;;;;;;;;;47.924739N;14.374959E;11;450;;et18;;Tilio-Acerion Klika 1955;Tilenion platyphylli (Moor 1973) Müller 1192;Aceri-Tilietum platyphylli Faber 1936 s.l. -seslerietosum prov.
se19;2014-06-04;;;;;;;;;;;;;;;;;;;47.926107N;14.378949E;7;445;;et19;;Fagion sylvaticae Luquet 1926;Cephalanthero-Fagenion Tx. & Oberd. 1958;Helleboro nigri-Fagetum Zukrigl 1973 s.str.
se20;2014-06-04;;;;;;;;;;;;;;;;;;;47.926418N;14.378846E;10;400;;et20;;Tilio-Acerion Klika 1955;Lunario-Acerenion pseudoplatani (Moor 1973) Müller 1992;Phyllitido-Aceretum Moor 1945
se21;2014-06-04;;;;;;;;;;;;;;;;;;;47.925879N;14.375147E;12;440;;et21;;Fagion sylvaticae Luquet 1926;Cephalanthero-Fagenion Tx. & Oberd. 1958;Helleboro nigri-Fagetum Zukrigl 1973 s.str.
se22;2014-06-04;;;;;;;;;;;;;;;;;;;47.924799N;14.373312E;15;;;et22;;Tilio-Acerion Klika 1955;Lunario-Acerenion pseudoplatani (Moor 1973) Müller 1992;Acrunco-Aceretum Moor 1952
se23;2014-06-04;;;;;;;;;;;;;;;;;;;47.925119N;14.373536E;15;;;et23;;Tilio-Acerion Klika 1955;Lunario-Acerenion pseudoplatani (Moor 1973) Müller 1992;Acrunco-Aceretum Moor 1952
se24;2014-06-04;;;;;;;;;;;;;;;;;;;47.921016N;14.374348E;15;;;et24;;Tilio-Acerion Klika 1955;Lunario-Acerenion pseudoplatani (Moor 1973) Müller 1992;Phyllitido-Aceretum Moor 1945
se25;2014-06-05;;;;;;;;;;;;;;;;;;;47.920037N;14.373975E;15;;;et25;;Carpinion betuli Issler 1931;;Stellario-Carpinetum Oberd. 1957
se26;2014-06-05;;;;;;;;;;;;;;;;;;;47.924212N;14.372364E;15;;;et26;;Festucion pallentis;Seslerio-Festucion pallentis Willner 2013;Teucrio montani-Seselietum austriaci Niklfeld 1979
se27;2014-06-05;;;;;;;;;;;;;;;;;;;47.923925N;14.372142E;15;;;et27;;Tilio-Acerion Klika 1955;Tilenion platyphylli (Moor 1973) Müller 1192;Aceri-Tilietum platyphylli Faber 1936 s.l. -seslerietosum prov.
se28;2014-06-05;;;;;;;;;;;;;;;;;;;47.917959N;14.369310E;15;;;et28;;Tilio-Acerion Klika 1955;Tilenion platyphylli (Moor 1973) Müller 1192;Aceri-Tilietum platyphylli Faber 1936 s.l. -seslerietosum prov.
se29;2014-10-09;stx01;;;;;;;;;;;;;;;;;;47.907837N;14.266070E;10;;;;10;Tilio-Acerion Klika 1955;Tilenion platyphylli (Moor 1973) Müller 1192;Aceri-Tilietum platyphylli Faber 1936 s.l. -seslerietosum prov.
se30;2014-10-09;stx02;;;;;;;;;;;;;;;;;;;;10;;;;10;Tilio-Acerion Klika 1955;Tilenion platyphylli (Moor 1973) Müller 1192;Aceri-Tilietum platyphylli Faber 1936 s.l. -seslerietosum prov.
se31;2014-10-09;stx03;;;;;;;;;;;;;;;;;;47.908751N;14.267499E;10;;;;10;Fagion sylvaticae Luquet 1926;Cephalanthero-Fagenion Tx. & Oberd. 1958;Helleboro nigri-Fagetum Zukrigl 1973 s.str.
se32;2014-10-09;stx04;;;;;;;;;;;;;;;;;;47.907417N;14.280971E;10;;;;10;Tilio-Acerion Klika 1955;Tilenion platyphylli (Moor 1973) Müller 1192;Aceri-Tilietum platyphylli Faber 1936 s.l. -seslerietosum prov.
se33;2014-10-09;stx05;;;;;;;;;;;;;;;;;;47.905633N;14.276972E;10;;;;10;Tilio-Acerion Klika 1955;Tilenion platyphylli (Moor 1973) Müller 1192;Aceri-Tilietum platyphylli Faber 1936 s.l. -seslerietosum prov.
