"plot";"cov";"t1cov";"t2cov";"scov";"hcov";"mcov";"htl1";"htl2";"hsl";"hhl1";"hhl2";"plsx";"plsy";"expo";"slope";"rock";"date";"latitude";"longitude";"horizontal precision";"soil";"type";"syntaxon";"timber";"stand.age";"comment";"deadwood"
"sp33";97;93;30;10;90;1;30;20;5;0,5;0,1;16;16;"W";20;0;"2013-05-15";"48.080600N";"13.832410E";5;"unkown";"TBW";"Helleboro nigri-Fagetum";"missing";"missing";"missing";99
"sp34";97;50;0;45;95;1;23;0;4;0,7;0,1;16;16;"F";0;0;"2013-05-15";"48.082848N";"13.835721E";7,1;"unkown";"FF";"unclassified";"missing";"missing";"missing";99
"sp35";99;0;25;75;97;20;0;8;6;0,5;0,25;16;16;"F";0;0;"2013-05-15";"48.084436N";"13.839819E";3,9;"unkown";"VW";"Helleboro nigri-Fagetum";"missing";"missing";"missing";99
"sp36";98;0;97;15;30;1;0;8;4;0,3;0,1;16;16;"N";15;0;"2013-05-15";"48.084630N";"13.839150E";9,2;"unkown";"VW";"Helleboro nigri-Fagetum";"missing";"missing";"missing";99
"sp37";93;85;15;35;65;20;27;15;5,5;0,4;0,2;16;16;"N";50;7;"2013-05-15";"48.085028N";"13.839754E";11,8;"unkown";"LW";"unclassified";"missing";"missing";"missing";99
"sp38";98;95;30;7;33;1;30;20;4;0,5;0,1;16;16;"N";40;2;"2013-05-15 & 2013-08-28";"48.084823N";"13.837539E";13,2;"unkown";"LW";"unclassified";"missing";"missing";"missing";99
"sp39";95;0;80;20;75;0;0;13;4,5;0,25;0,1;16;16;"F";0;0;"2013-05-15";"48.084152N";"13.838544E";4,4;"unkown";"TBW";"Helleboro nigri-Fagetum";"missing";"missing";"missing";99
"sp40";92;90;10;0;70;1;27;18;0;0,3;0,1;16;16;"F";0;0;"2013-05-15";"48.083299N";"13.837099E";6,2;"unkown";"TBW";"Helleboro nigri-Fagetum";"missing";"missing";"missing";99
"sp41";95;85;5;3;15;65;16;14;2;0,2;0,1;16;16;"F";0;0;"2013-05-15";"48.082230N";"13.838812E";6,1;"unkown";"FF";"unclassified";"missing";"missing";"missing";99
"sp42";98;90;10;15;80;1;28;18;4;0,3;0,1;16;16;"F";0;0;"2013-05-15";"48.082265N";"13.836911E";3,4;"unkown";"TBW";"Helleboro nigri-Fagetum";"missing";"missing";"missing";99
"sp43";97;0;0;80;90;5;0;0;4;0,7;0,3;16;16;"F";0;0;"2013-05-16";"48.081671N";"13.838231E";7,1;"unkown";"SF";"Frangula alnus Cephalanthero-Fagenion-Gesellschaft";"missing";"missing";"missing";99
"sp44";99;0;1;65;98;1;0;20;4;0,6;0,1;16;16;"F";0;0;"2013-05-16";"48.081812N";"13.837276E";8,1;"unkown";"SF";"Frangula alnus Cephalanthero-Fagenion-Gesellschaft";"missing";"missing";"missing";99
"sp45";98;0;0;90;97;3;0;0;4;0,7;0,4;16;16;"F";0;0;"2013-05-16";"48.081234N";"13.837414E";4,1;"unkown";"VW";"Helleboro nigri-Fagetum";"missing";"missing";"missing";99
"sp46";96;80;45;25;80;1;28;18;4;0,5;0,1;16;16;"F";0;0;"2013-05-16";"48.081000N";"13.837952E";4,1;"unkown";"TBW";"Helleboro nigri-Fagetum";"missing";"missing";"missing";99
"sp47";99;0;0;95;85;3;0;0;5;0,5;0,25;16;16;"F";0;0;"2013-05-16";"48.081039N";"13.837318E";6,5;"unkown";"VW";"Helleboro nigri-Fagetum";"missing";"missing";"missing";99
"sp48";97;97;7;1;7;1;18;15;2;0,15;0,05;16;16;"F";0;0;"2013-05-16";"48.079170N";"13.837890E";7,4;"unkown";"TBW";"Helleboro nigri-Fagetum";"missing";"missing";"missing";99
"sp49";98;80;90;7;5;1;30;12;4;0,2;0,1;16;16;"F";0;0;"2013-05-16";"48.079509N";"13.837341E";5,2;"unkown";"TBW";"Helleboro nigri-Fagetum";"missing";"missing";"missing";99
"sp50";97;20;25;50;97;5;14;10;5;0,5;0,3;16;16;"F";0;0;"2013-05-16";"48.080639N";"13.837806E";3,9;"unkown";"VW";"Helleboro nigri-Fagetum";"missing";"missing";"missing";99
