plot;cov;t1cov;t2cov;scov;hcov;mcov;htl1;htl2;hsl;hhl1;hhl2;plsx;plsy;expo;slope;rock;bare;stones;date;latitude;longitude;accuracy;alliance;association;soil;comment;location
btx1;;;;;;;;;;;;;;;;;;;;47.580214;13.137540;;;;;;
btx2;;;;;;;;;;;;;;;;;;;;47.580473;13.137584;;;;;;
btx3;;;;;;;;;;;;;;;;;;;;47.580571;13.138070;;;;;;
btx4;;;;;;;;;;;;;;;;;;;;47.580638;13.138311;;;;;;
btx5;;;;;;;;;;;;;;;;;;;;47.580696;13.138653;;;;;;
btx6;;;;;;;;;;;;;;;;;;;;47.580778;13.139270;;;;;;
btx7;;;;;;;;;;;;;;;;;;;;47.580629;13.139725;;;;;;
