plot;cov;t1cov;t2cov;scov;hcov;mcov;htl1;htl2;hsl;hhl1;hhl2;plsx;plsy;expo;slope;rock;bare;stones;date;latitude;longitude;accuracy;alliance;association;soil;comment;location
go01;;;;;;;;;;;;;;;;;;;2015-04-24;47.596375;13.170085;20;Carpinion betuli;;;;
g002;;;;;;;;;;;;;;;;;;;2015-04-24;47.596459;13.170359;20;Carpinion betuli;;;;
