plot;variable;value
Exner2004:03;plsy;10
Exner2004:04;plsy;10
Exner2004:05;plsy;10
Exner2004:06;plsy;10
Exner2004:07;plsy;10
Exner2004:08;plsy;10
Exner2004:09;plsy;0
Exner2004:10;plsy;0
Exner2004:11;plsy;0
Exner2004:12;plsy;0
Exner2004:13;plsy;0
Exner2004:14;plsy;0
Exner2004:15;plsy;0
Exner2004:16;plsy;0
Exner2004:17;plsy;0
Exner2004:18;plsy;0
Exner2004:19;plsy;0
Exner2004:20;plsy;0
Exner2004:01;precision.horizontal;200
Exner2004:02;precision.horizontal;200
Exner2004:03;precision.horizontal;200
Exner2004:04;precision.horizontal;200
Exner2004:05;precision.horizontal;200
Exner2004:06;precision.horizontal;200
Exner2004:07;precision.horizontal;200
Exner2004:08;precision.horizontal;200
Exner2004:09;precision.horizontal;200
Exner2004:10;precision.horizontal;200
Exner2004:11;precision.horizontal;200
Exner2004:12;precision.horizontal;200
Exner2004:13;precision.horizontal;200
Exner2004:14;precision.horizontal;200
Exner2004:15;precision.horizontal;200
Exner2004:16;precision.horizontal;200
Exner2004:17;precision.horizontal;200
Exner2004:18;precision.horizontal;200
Exner2004:19;precision.horizontal;200
Exner2004:20;precision.horizontal;200
Exner2004:01;precision.vertical;20
Exner2004:02;precision.vertical;20
Exner2004:03;precision.vertical;20
Exner2004:04;precision.vertical;20
Exner2004:05;precision.vertical;20
Exner2004:06;precision.vertical;20
Exner2004:07;precision.vertical;20
Exner2004:08;precision.vertical;20
Exner2004:09;precision.vertical;20
Exner2004:10;precision.vertical;20
Exner2004:11;precision.vertical;20
Exner2004:12;precision.vertical;20
Exner2004:13;precision.vertical;20
Exner2004:14;precision.vertical;200
Exner2004:15;precision.vertical;20
Exner2004:16;precision.vertical;20
Exner2004:17;precision.vertical;20
Exner2004:18;precision.vertical;20
Exner2004:19;precision.vertical;20
Exner2004:20;precision.vertical;20
Exner2004:01;slope;45
Exner2004:02;slope;60
Exner2004:03;slope;55
