plot;abbr;layer;cov;comment;voucher;history
kb03;taxu bacc;sl;1;;;
kb03;fagu sylv;tl1;3;;;
kb03;fagu sylv;tl2;2b;;;
kb03;frax exce;tl2;2a;;;
kb03;pice abie;tl2;2a;;;
kb03;sorb aria;tl2;2b;;;
kb03;taxu bacc;tl2;2b;;;
kb04;amel oval;hl;1;;;
kb04;aspl ruta;hl;+;;;
kb04;buph sali;hl;+;;;
kb04;care alba;hl;2b;;;
kb04;care digi;hl;+;;;
kb04;care orni orni;hl;+;;;
kb04;corn sang slat;hl;+;;;
kb04;cory avel;hl;+;;;
kb04;cycl purp;hl;+;;;
kb04;eric carn;hl;4;;;
kb04;fagu sylv;hl;+;;;
kb04;frax exce;hl;+;;;
kb04;geni tinc;hl;r;;;
kb04;hepa nobi;hl;+;;;
kb04;hier bifi;hl;+;;;
kb04;kern saxa;hl;+;;;
kb04;lase sile sile;hl;2a;;;
kb04;leon hisp slat;hl;+;;;
kb04;meli nuta;hl;1;;;
kb04;moli caer;hl;1;;;
kb04;poly cham;hl;2m;;;
kb04;poly odor;hl;1;;;
kb04;pote caul;hl;+;;;
kb04;rham cath;hl;1;;;
kb04;sali appe;hl;+;;;
kb04;sesl caer;hl;2a;;;
kb04;sorb aria;hl;1;;;
kb04;taxu bacc;hl;1;;;
kb04;teuc cham;hl;2a;;;
kb04;tili cord;hl;+;;;
kb04;vacc viti;hl;+;;;
kb04;vinc hiru;hl;1;;;
kb04;viol hirt;hl;+;;;
kb04;amel oval;sl;2b;;;
kb04;cory avel;sl;2a;;;
kb04;frax exce;sl;1;;;
kb04;sali appe;sl;1;;;
kb04;sorb aria;sl;2a;;;
kb04;taxu bacc;sl;1;;;
kb05;amel oval;hl;3;;;
kb05;buph sali;hl;+;;;
kb05;care alba;hl;1;;;
kb05;care digi;hl;+;;;
kb05;care flac;hl;+;;;
kb05;care orni orni;hl;+;;;
kb05;clem vita;hl;1;;;
kb05;conv maja maja;hl;+;;;
kb05;corn sang slat;hl;+;;;
kb05;cycl purp;hl;+;;;
kb05;eric carn;hl;2a;;;
kb05;euph dulc dulc;hl;+;;;
kb05;fest amet amet;hl;1;;;
kb05;frax exce;hl;+;;;
kb05;kern saxa;hl;+;;;
kb05;lase sile sile;hl;2a;;;
kb05;leon inca;hl;+;;;
kb05;ligu vulg;hl;+;;;
kb05;meli nuta;hl;+;;;
kb05;moli caer;hl;1;;;
kb05;poly cham;hl;2m;;;
kb05;pote caul;hl;2a;;;
kb05;rham cath;hl;+;;;
kb05;sali appe;hl;+;;;
kb05;sesl caer;hl;2a;;;
kb05;vibu lant;hl;1;;;
kb05;viol hirt;hl;1;;;
kb05;clem vita;sl;1;;;
kb05;ligu vulg;sl;+;;;
kb05;rham cath;sl;+;;;
kb05;sali appe;sl;1;;;
kb05;vibu lant;sl;2a;;;
kb05;betu pend;tl2;2a;;;
kb05;frax exce;tl2;2a;;;
kb06;amel oval;hl;1;;;
kb06;betu pend;hl;+;;;
kb06;buph sali;hl;+;;;
kb06;care alba;hl;+;;;
kb06;care orni orni;hl;+;;;
kb06;clem vita;hl;+;;;
kb06;cory avel;hl;+;;;
kb06;coto hori;hl;+;;;
kb06;eric carn;hl;2b;;;
kb06;fran alnu;hl;+;;;
kb06;frax exce;hl;1;;;
kb06;gyps repe;hl;r;;;
kb06;hier bifi;hl;+;;;
kb06;kern saxa;hl;r;;;
kb06;lase sile sile;hl;1;;;
kb06;leon inca;hl;1;;;
kb06;moli caer;hl;2a;;;
kb06;pice abie;hl;+;;;
kb06;poly cham;hl;2m;;;
kb06;pote caul;hl;+;;;
kb06;quer robu;hl;r;;;
kb06;rham cath;hl;+;;;
kb06;rhod hirs;hl;1;;;
kb06;sesl caer;hl;2a;;;
kb06;soli virg virg;hl;+;;;
kb06;teuc cham;hl;2a;;;
kb06;vinc hiru;hl;2a;;;
kb06;tort tort;ml;1;;;
kb06;amel oval;sl;2b;;;
kb06;clem vita;sl;+;;;
kb06;cory avel;sl;2b;;;
kb06;fran alnu;sl;2b;;;
kb06;frax exce;sl;2a;;;
kb06;pice abie;sl;1;;;
kb06;pinu sylv;sl;2b;;;
kb06;rham cath;sl;1;;;
kb06;sali appe;sl;1;;;
kb06;betu pend;tl2;1;;;
kb06;frax exce;tl2;2a;;;
kb06;pice abie;tl2;2a;;;
kb06;pinu sylv;tl2;2b;;;
kb07;acer plat;hl;+;;;
kb07;acer pseu;hl;+;;;
kb07;cala vari;hl;1;;;
kb07;camp rapu rapu;hl;+;;;
kb07;camp trac;hl;+;;;
kb07;care alba;hl;1;;;
kb07;care digi;hl;1;;;
kb07;care mont;hl;+;;;
kb07;ceph dama;hl;r;;;
kb07;clem vita;hl;1;;;
kb07;corn sang slat;hl;+;;;
kb07;coto inte;hl;+;;;
kb07;cycl purp;hl;+;;;
kb07;gale psis spec ies;hl;r;;;
kb07;hede heli;hl;1;;;
kb07;hepa nobi;hl;+;;;
kb07;ligu vulg;hl;1;;;
kb07;loni xylo;hl;+;;;
kb07;meli nuta;hl;+;;;
kb07;rosa arve;hl;1;;;
kb07;sesl caer;hl;+;;;
kb07;soli virg virg;hl;r;;;
kb07;stac sylv;hl;+;;;
kb07;ulmu glab;hl;+;;;
kb07;vinc hiru;hl;2a;;;
kb07;acer plat;sl;+;;;
kb07;carp betu;sl;1;;;
kb07;clem vita;sl;+;;;
kb07;corn sang slat;sl;1;;;
kb07;crat mono;sl;+;;;
kb07;frax exce;sl;1;;;
kb07;ligu vulg;sl;+;;;
kb07;quer robu;sl;1;;;
kb07;rham cath;sl;+;;;
kb07;tili ✕eur;sl;1;;;
kb07;tili cord;sl;1;;;
kb07;ulmu glab;sl;1;;;
kb07;ulmu mino mino;sl;+;;;
kb07;vibu lant;sl;+;;;
kb07;acer pseu;tl1;1;;;
kb07;frax exce;tl1;2b;;;
kb07;quer petr;tl1;1;;;
kb07;quer robu;tl1;2b;;;
kb07;acer plat;tl2;2a;;;
kb07;carp betu;tl2;3;;;
kb07;crat mono;tl2;1;;;
kb07;quer petr;tl2;1;;;
kb07;quer robu;tl2;2a;;;
kb07;sorb aria;tl2;1;;;
kb07;tili cord;tl2;2a;;;
kb07;ulmu glab;tl2;2a;;;
kb08;acer plat;hl;+;;;
kb08;acer pseu;hl;+;;;
kb08;brac sylv;hl;+;;;
kb08;cala vari;hl;2a;;;
kb08;camp rapu rapu;hl;1;;;
kb08;camp trac;hl;+;;;
kb08;care alba;hl;3;;;
kb08;care digi;hl;+;;;
kb08;carp betu;hl;+;;;
kb08;clem vita;hl;1;;;
kb08;corn sang slat;hl;+;;;
kb08;cory avel;hl;+;;;
kb08;crat mono;hl;+;;;
kb08;cycl purp;hl;1;;;
kb08;daph meze;hl;+;;;
kb08;euon euro;hl;1;;;
kb08;euph dulc dulc;hl;+;;;
kb08;frax exce;hl;+;;;
kb08;hede heli;hl;1;;;
kb08;hepa nobi;hl;+;;;
kb08;lase lati lati;hl;r;;;
kb08;lili mart;hl;+;;;
kb08;loni xylo;hl;+;;;
kb08;malu sylv;hl;r;2014-0102;;
kb08;meli nuta;hl;+;;;
kb08;merc pere;hl;+;;;
kb08;poly odor;hl;+;;;
kb08;quer robu;hl;+;;;
kb08;rham cath;hl;2m;;;
kb08;rosa arve;hl;+;;;
kb08;salv glut;hl;+;;;
