plot;abbr;layer;cov;comment;voucher;history
kb14;rubu idae;hl;+;;;
kb14;salv glut;hl;+;;;
kb14;samb nigr;hl;1;;;
kb14;tili cord;hl;+;;;
kb14;tili plat;hl;+;;;
kb14;vero urti;hl;+;;;
kb14;viol reic;hl;+;;;
kb14;acer plat;sl;1;;;
kb14;fagu sylv;sl;+;;;
kb14;frax exce;sl;+;;;
kb14;samb nigr;sl;2b;;;
kb14;tili plat;sl;1;;;
kb14;fagu sylv;tl1;4;;;
kb14;tili plat;tl1;2a;;;
kb14;acer plat;tl2;2a;;;
kb14;fagu sylv;tl2;2b;;;
kb14;frax exce;tl2;2a;;;
kb14;tili cord;tl2;2b;;;
kb14;tili plat;tl2;3;;;
kb15;acer plat;hl;1;;;
kb15;acer pseu;hl;+;;;
kb15;alli peti;hl;1;;;
kb15;arab alpi alpi;hl;r;;;
kb15;aspl scol scol;hl;2a;;;
kb15;aspl tric quad;hl;+;;;
kb15;aspl viri;hl;+;;;
kb15;camp trac;hl;1;;;
kb15;card impa;hl;+;;;
kb15;chel maju;hl;+;;;
kb15;chry alte;hl;+;;;
kb15;clem vita;hl;+;;;
kb15;cycl purp;hl;+;;;
kb15;cyst frag;hl;+;;;
kb15;dryo fili;hl;+;;;
kb15;fagu sylv;hl;+;;;
kb15;gale mont;hl;3;;;
kb15;gera robe;hl;1;;;
kb15;hede heli;hl;+;;;
kb15;impa parv;hl;+;;;
kb15;laps comm comm;hl;+;;;
kb15;merc pere;hl;+;;;
kb15;poa nemo;hl;+;;;
kb15;poly acul;hl;+;;;
kb15;rubu idae;hl;+;;;
kb15;salv glut;hl;+;;;
kb15;samb nigr;hl;1;;;
kb15;symp tube slat;hl;+;;;
kb15;tili plat;hl;+;;;
kb15;ulmu glab;hl;+;;;
kb15;urti dioi dioi;hl;1;;;
kb15;vero urti;hl;+;;;
kb15;fagu sylv;sl;+;;;
kb15;samb nigr;sl;2b;;;
kb15;tili cord;sl;+;;;
kb15;tili plat;sl;+;;;
kb15;ulmu glab;sl;+;;;
kb15;fagu sylv;tl1;2b;;;
kb15;tili cord;tl1;2b;;;
kb15;tili plat;tl1;2b;;;
kb15;acer plat;tl2;2b;;;
kb15;fagu sylv;tl2;1;;;
kb15;taxu bacc;tl2;1;;;
kb15;tili plat;tl2;2a;;;
kb15;ulmu glab;tl2;2b;;;
kb16;acon lyco vulp;hl;r;;;
kb16;apos foet;hl;r;;;
kb16;aqui atra;hl;r;;;
kb16;aspl ruta;hl;r;;;
kb16;aspl viri;hl;r;;;
kb16;camp rapu rapu;hl;+;;;
kb16;clem vita;hl;+;;;
kb16;cory avel;hl;+;;;
kb16;cycl purp;hl;+;;;
kb16;daph meze;hl;+;;;
kb16;dryo fili;hl;+;;;
kb16;epil mont;hl;+;;;
kb16;eupa cann;hl;+;;;
kb16;euph amyg amyg;hl;+;;;
kb16;fagu sylv;hl;+;;;
kb16;frax exce;hl;1;;;
kb16;gale flav;hl;+;;;
kb16;gali sylv;hl;+;;;
kb16;geum urba;hl;r;;;
kb16;gymn robe;hl;+;;;
kb16;hede heli;hl;+;;;
kb16;lili mart;hl;+;;;
kb16;merc pere;hl;+;;;
kb16;moeh musc;hl;r;;;
kb16;pari quad;hl;+;;;
kb16;poly acul;hl;+;;;
kb16;poly lonc;hl;r;;;
kb16;poly mult;hl;+;;;
kb16;salv glut;hl;+;;;
kb16;samb nigr;hl;+;;;
kb16;tara sect rude;hl;r;;;
kb16;vale mont;hl;r;;;
kb16;vero cham mica;hl;+;cf.;;
kb16;vero urti;hl;+;;;
kb16;cory avel;sl;1;;;
kb16;samb nigr;sl;+;;;
kb16;abie alba;tl1;1;;;
kb16;fagu sylv;tl1;2b;;;
kb16;tili plat;tl1;2b;;;
kb16;acer pseu;tl2;2b;;;
kb16;fagu sylv;tl2;2a;;;
kb16;sorb aria;tl2;1;;;
kb16;tili ✕eur;tl2;2a;;;
kb17;acer pseu;hl;+;;;
kb17;apos foet;hl;+;;;
kb17;aqui atra;hl;+;;;
kb17;berb vulg;hl;+;;;
kb17;brac pinn;hl;+;;;
kb17;brac sylv;hl;+;;;
kb17;cala vari;hl;2b;;;
kb17;camp coch;hl;+;;;
kb17;camp rapu rapu;hl;+;;;
kb17;care alba;hl;1;;;
kb17;care flac;hl;4;;;
kb17;clem vita;hl;+;;;
kb17;corn sang slat;hl;+;;;
kb17;cycl purp;hl;1;;;
kb17;daph meze;hl;+;;;
kb17;epip atro;hl;r;;;
kb17;eupa cann;hl;+;;;
kb17;euph amyg amyg;hl;+;;;
kb17;euph cypa;hl;+;;;
kb17;fagu sylv;hl;+;;;
kb17;frax exce;hl;+;;;
kb17;gali sylv;hl;+;;;
kb17;gymn robe;hl;+;;;
kb17;hepa nobi;hl;+;;;
kb17;jugl regi;hl;r;;;
kb17;knau maxi;hl;+;;;
kb17;loni alpi;hl;+;;;
kb17;loni xylo;hl;+;;;
kb17;meli nuta;hl;+;;;
kb17;phyt orbi;hl;+;;;
kb17;pren purp;hl;+;;;
kb17;ranu nemo;hl;+;;;
kb17;rham cath;hl;1;;;
kb17;rhod hirs;hl;r;;;
kb17;sesl caer;hl;+;;;
kb17;sorb aria;hl;+;;;
kb17;vale mont;hl;+;;;
kb17;vinc hiru;hl;2a;;;
kb17;acer pseu;sl;1;;;
kb17;amel oval;sl;+;;;
kb17;corn sang slat;sl;1;;;
kb17;cory avel;sl;2b;;;
kb17;daph meze;sl;+;;;
kb17;loni xylo;sl;+;;;
kb17;sorb aria;sl;1;;;
kb17;acer pseu;tl1;2a;;;
kb17;betu pend;tl1;2a;;;
kb17;frax exce;tl1;2a;;;
kb17;pice abie;tl1;2a;;;
kb17;sorb aria;tl1;2b;;;
kb17;tili ✕eur;tl1;2b;;;
kb17;fagu sylv;tl2;1;;;
kb17;sorb aria;tl2;2b;;;
