"plot";"variable";"value"
"an26";"hsl";"0"
"an01";"mcov";"15"
"an02";"mcov";"25"
"an03";"mcov";"40"
"an04";"mcov";"20"
"an05";"mcov";"1"
"an06";"mcov";"20"
"an07";"mcov";"40"
"an08";"mcov";"15"
"an09";"mcov";"30"
"an10";"mcov";"20"
"an11";"mcov";"35"
"an12";"mcov";"20"
"an13";"mcov";"25"
"an14";"mcov";"20"
"an15";"mcov";"30"
"an16";"mcov";"15"
"an17";"mcov";"35"
"an18";"mcov";"40"
"an19";"mcov";"15"
"an20";"mcov";"10"
"an21";"mcov";"35"
"an22";"mcov";"30"
"an23";"mcov";"20"
"an24";"mcov";"35"
"an25";"mcov";"40"
"an26";"mcov";"15"
"an01";"plsx";"4"
"an02";"plsx";"8"
"an03";"plsx";"4"
"an04";"plsx";"4"
"an05";"plsx";"4"
"an06";"plsx";"4"
"an07";"plsx";"8"
"an08";"plsx";"4"
"an09";"plsx";"4"
"an10";"plsx";"4"
"an11";"plsx";"4"
"an12";"plsx";"3"
"an13";"plsx";"4"
"an14";"plsx";"4"
"an15";"plsx";"4"
"an16";"plsx";"4"
"an17";"plsx";"4"
"an18";"plsx";"4"
"an19";"plsx";"4"
"an20";"plsx";"4"
"an21";"plsx";"4"
"an22";"plsx";"4"
"an23";"plsx";"4"
"an24";"plsx";"4"
"an25";"plsx";"4"
"an26";"plsx";"4"
"an01";"plsy";"4"
"an02";"plsy";"8"
"an03";"plsy";"4"
"an04";"plsy";"4"
"an05";"plsy";"4"
"an06";"plsy";"4"
"an07";"plsy";"8"
"an08";"plsy";"4"
"an09";"plsy";"4"
"an10";"plsy";"4"
"an11";"plsy";"4"
"an12";"plsy";"5"
"an13";"plsy";"4"
"an14";"plsy";"4"
"an15";"plsy";"4"
"an16";"plsy";"4"
"an17";"plsy";"4"
"an18";"plsy";"4"
"an19";"plsy";"4"
"an20";"plsy";"4"
"an21";"plsy";"4"
"an22";"plsy";"4"
"an23";"plsy";"4"
"an24";"plsy";"4"
"an25";"plsy";"4"
"an26";"plsy";"4"
"an01";"precision";"3.5"
"an02";"precision";"5.1"
"an03";"precision";"3.0"
"an04";"precision";"2.9"
"an05";"precision";"4.0"
"an06";"precision";"4.2"
"an07";"precision";"3.7"
"an08";"precision";"4.5"
"an09";"precision";"3.5"
"an10";"precision";"4.2"
"an11";"precision";"10.0"
"an12";"precision";"5.0"
"an13";"precision";"4.7"
"an14";"precision";"4.4"
"an15";"precision";"3.8"
"an16";"precision";"5.0"
"an17";"precision";"3.8"
"an18";"precision";"10.0"
"an19";"precision";"4.1"
"an20";"precision";"3.5"
"an21";"precision";"3.1"
"an22";"precision";"4.0"
