plot;abbr;layer;cov;voucher;history
ts28;gali odor;hl;+;;
ts28;gera robe;hl;+;;
ts28;hell nige;hl;1;;
ts28;hipp emer emer;hl;+;;
ts28;meli nuta;hl;+;;
ts28;orig vulg;hl;+;;
ts28;rosa cani;hl;+;;
ts28;rubu sect rubu;hl;+;R. Ser. Glandulosi;
ts28;salv glut;hl;1;;
ts28;samb nigr;hl;+;;
ts28;stap pinn;hl;1;;
ts28;tili plat;hl;1;;
ts28;ulmu glab;hl;+;;
ts28;vinc hiru;hl;+;;
ts28;acer plat;sl;1;;
ts28;carp betu;sl;+;;
ts28;clem vita;sl;+;;
ts28;cory avel;sl;1;;
ts28;frax exce;sl;+;;
ts28;samb nigr;sl;1;;
ts28;stap pinn;sl;2a;;
ts28;tili plat;sl;1;;
ts28;ulmu glab;sl;1;;
ts28;frax exce;tl2;2b;;
ts28;tili plat;tl2;2b;;
ts28;ulmu glab;tl2;1;;
ts29;acer plat;hl;+;;
ts29;alli lusi;hl;r;;
ts29;anth ramo;hl;+;;
ts29;arab aren;hl;+;;
ts29;aspl ruta;hl;+;;
ts29;aspl tric quad;hl;+;2014-0327;
ts29;brac sylv;hl;+;;
ts29;buph sali;hl;+;;
ts29;cala vari;hl;+;;
ts29;camp pers;hl;+;;
ts29;camp trac;hl;+;;
ts29;card defl viri;hl;+;;
ts29;care alba;hl;2a;;
ts29;care digi;hl;+;;
ts29;care flac;hl;+;;
ts29;ceph long;hl;r;;
ts29;clem vita;hl;+;;
ts29;clin vulg vulg;hl;+;;
ts29;conv maja maja;hl;+;;
ts29;corn sang slat;hl;+;;
ts29;cycl purp;hl;+;;
ts29;daph laur;hl;+;;
ts29;euon euro;hl;+;;
ts29;euon lati;hl;1;;
ts29;gale mont;hl;+;;
ts29;gali sylv;hl;+;;
ts29;gali trun;hl;r;;
ts29;gera robe;hl;+;;
ts29;hede heli;hl;+;;
ts29;hell nige;hl;1;;
ts29;hepa nobi;hl;+;;
ts29;hipp emer emer;hl;+;;
ts29;lact mura;hl;+;;
ts29;lase lati lati;hl;r;;
ts29;lase sile sile;hl;r;;
ts29;ligu vulg;hl;+;;
ts29;loni alpi;hl;+;;
ts29;meli nuta;hl;+;;
ts29;merc pere;hl;+;;
ts29;moeh musc;hl;r;;
ts29;orig vulg;hl;+;;
ts29;poly acul;hl;r;;
ts29;poly mult;hl;+;;
ts29;poly odor;hl;r;;
ts29;pren purp;hl;+;;
ts29;rham cath;hl;+;;
ts29;rosa pend;hl;+;;
ts29;salv glut;hl;+;;
ts29;sesl caer;hl;1;;
ts29;soli virg virg;hl;+;;
ts29;stap pinn;hl;1;;
ts29;taxu bacc;hl;+;;
ts29;tili plat;hl;+;;
ts29;ulmu glab;hl;+;;
ts29;vinc hiru;hl;+;;
ts29;viol alba slat;hl;+;2014-0328;
ts29;carp betu;sl;+;;
ts29;clem vita;sl;+;;
ts29;corn sang slat;sl;+;;
ts29;euon lati;sl;+;;
ts29;hipp emer emer;sl;+;;
ts29;ligu vulg;sl;+;;
ts29;rham cath;sl;+;;
ts29;rosa cani;sl;+;;
ts29;stap pinn;sl;3;;
ts29;tili plat;sl;1;;
ts29;ulmu glab;sl;+;;
ts29;tili plat;tl1;2b;;
ts29;acer plat;tl2;2a;;
ts29;carp betu;tl2;2b;;
ts29;frax exce;tl2;2a;;
ts29;tili plat;tl2;2b;;
ts29;ulmu glab;tl2;2a;;
