plot;cov;t1cov;t2cov;scov;hcov;mcov;htl1;htl2;hsl;hhl1;hhl2;plsx;plsy;expo;slope;rock;bare;stones;date;latitude;longitude;accuracy;alliance;association;soil;comment;location
sb01;;;;;;;;;;;;;;;;;;;2014-11-03;47.601939N;13.198235E;20;Tilio-Acerion;;Rendzina;;Hinterkellau
sb02;;;;;;;;;;;;;;;;;;;2014-11-03;47.601979N;13.198314E;20;Berberidion;;Rendzina;;Hinterkellau
