plot,abbr,layer,cov,comment
nb25,epil nuta,hl,+,
nb25,junc cast,hl,+,
nb25,lych flos cucu,hl,+,
nb25,myos palu aggr,hl,+,
nb25,ping vulg,hl,+,
nb25,prun vulg,hl,+,
nb25,ranu repe,hl,1,
nb25,stel alsi,hl,+,
nb25,viol palu,hl,+,
nb25,warn exan,hl,1,
nb25,will stip stip,hl,2,
nb25,phil font,ml,1,
nb26,calt palu,hl,+,
nb26,care dava,hl,2,
nb26,care frig,hl,+,
nb26,epil alsi,hl,1,
nb26,lych flos cucu,hl,+,
nb26,ping vulg,hl,+,
nb26,saxi stel robu,hl,2,
nb26,tofi caly,hl,1,
nb26,will stip stip,hl,+,
nb26,bryu pseu pseu,ml,+,
nb26,dich palu,ml,+,
nb26,palu comm comm,ml,2,
nb27,calt palu,hl,+,
nb27,care echi,hl,+,
nb27,care frig,hl,+,
nb27,care nigr,hl,3,
nb27,junc cast,hl,2,
nb27,junc trig trig,hl,+,
nb27,ping vulg,hl,+,
nb27,swer pere,hl,2,
nb27,bryu pseu pseu,ml,+,
nb27,palu comm falc,ml,1,
nb27,scor coss,ml,2,
nb28,agro stol,hl,+,
nb28,calt palu,hl,2,
nb28,care frig,hl,2,
nb28,care nigr,hl,+,
nb28,desc cesp,hl,+,
nb28,junc cast,hl,2,
nb28,junc trig trig,hl,+,
nb28,saxi stel robu,hl,1,
nb28,bryu pseu pseu,ml,+,
nb28,camp stel,ml,1,
nb28,chil pall,ml,+,
nb28,dich palu,ml,+,
nb28,hylo sple,ml,+,
nb28,palu comm comm,ml,+,
nb28,palu comm falc,ml,2,
nb28,palu deci,ml,+,
nb28,pell endi,ml,+, cf. 
nb28,phil font,ml,+,
nb28,phil seri,ml,+,
nb28,phil tome,ml,+,
nb28,poly comm,ml,+,
nb28,poly stri,ml,+,
nb28,spha capi,ml,+,
nb28,spha girg,ml,+,
nb28,spha quin,ml,+,
nb28,spha warn,ml,+,
nb28,stra stra,ml,+,
nb28,warn exan,ml,+,
nb29,agro stol,hl,+,
nb29,calt palu,hl,+,
nb29,care echi,hl,+,
nb29,care nigr,hl,+,
nb29,cirs palu,hl,+,
nb29,erio lati,hl,2,
nb29,junc alpi alpi,hl,3,
nb29,junc cast,hl,+,
nb29,junc trig trig,hl,+,
nb29,myos palu aggr,hl,+,
nb29,parn palu,hl,+,
nb29,saxi stel robu,hl,+,
nb29,viol palu,hl,+,
nb29,bryu pseu pseu,ml,+,
nb29,dich palu,ml,+,
nb29,hylo pyre,ml,+,
nb29,palu comm comm,ml,1,
nb29,phil font,ml,+,
nb29,phil seri,ml,+,
nb29,phil tome,ml,+,
nb29,scor coss,ml,2,
nb29,spha warn,ml,+,
nb29,warn exan,ml,+,
nb30,calt palu,hl,+,
nb30,care flav flav,hl,+,
nb30,care nigr,hl,2,
nb30,desc cesp,hl,2,
nb30,junc cast,hl,1,
nb30,junc trig trig,hl,+,
nb30,saxi stel robu,hl,+,
nb30,bryu pseu pseu,ml,+,
nb30,camp stel,ml,+,
nb30,palu comm comm,ml,+,
nb30,palu comm falc,ml,+,
nb30,scor coss,ml,2,
nb31,calt palu,hl,1,
nb31,desc cesp,hl,1,
nb31,epil nuta,hl,+,
nb31,junc cast,hl,+,
nb31,junc trig trig,hl,+,
nb31,call giga,ml,+,
nb31,palu comm comm,ml,2,
nb31,phil font,ml,1,
nb32,bart alpi,hl,1,
nb32,care echi,hl,+,
nb32,care nigr,hl,+,
nb32,care rost,hl,2,
nb32,junc cast,hl,2,
nb32,junc trig trig,hl,+,
nb32,pote erec,hl,+,
nb32,swer pere,hl,1,
nb32,tofi caly,hl,+,
nb32,tric cesp cesp,hl,2,
nb32,bryu pseu pseu,ml,+,
nb32,camp stel,ml,+,incl. C. stellatum var. protensum (Brid.) Bryhn
nb32,dich palu,ml,+,
nb32,palu comm falc,ml,+,
nb32,pell endi,ml,+,cf.
nb32,phil font,ml,+,
nb32,phil tome,ml,+,
nb32,sani unci,ml,+,
nb32,scap irri irri,ml,+,
nb32,scap palu,ml,+,
nb32,scor coss,ml,1,
nb32,spha girg,ml,+,
nb32,warn sarm,ml,+,
