"plot";"abbr";"layer";"cov"
"ts01";"pice abie";"tl2";"2b"
"ts01";"cory avel";"sl";"1"
"ts01";"fran alnu";"sl";"1"
"ts01";"sorb aria";"sl";"2b"
"ts01";"acer pseu";"hl";"r"
"ts01";"clin alpi alpi";"hl";"+"
"ts01";"anth ramo";"hl";"1"
"ts01";"berb vulg";"hl";"r"
"ts01";"buph sali";"hl";"1"
"ts01";"cala vari";"hl";"2a"
"ts01";"card defl viri";"hl";"1"
"ts01";"care digi";"hl";"+"
"ts01";"care humi";"hl";"3"
"ts01";"cory avel";"hl";"+"
"ts01";"epip atro";"hl";"+"
"ts01";"eric carn";"hl";"1"
"ts01";"euph cypa";"hl";"+"
"ts01";"fran alnu";"hl";"+"
"ts01";"gali trun";"hl";"1"
"ts01";"gent cili";"hl";"+"
"ts01";"glob cord";"hl";"+"
"ts01";"hier glau cum";"hl";"r"
"ts01";"jugl regi";"hl";"r"
"ts01";"lase sile sile";"hl";"+"
"ts01";"moli caer aggr";"hl";"4"
"ts01";"peta para";"hl";"+"
"ts01";"phyt orbi";"hl";"+"
"ts01";"pinu mugo";"hl";"2a"
"ts01";"pinu sylv";"hl";"+"
"ts01";"poly odor";"hl";"+"
"ts01";"rume scut";"hl";"+"
"ts01";"sesl caer";"hl";"1"
"ts01";"taxu bacc";"hl";"+"
"ts01";"teuc mont";"hl";"+"
"ts01";"vinc hiru";"hl";"+"
"ts02";"pice abie";"tl1";"2b"
"ts02";"amel oval";"sl";"2b"
"ts02";"berb vulg";"sl";"1"
"ts02";"clem vita";"sl";"1"
"ts02";"cory avel";"sl";"1"
"ts02";"fran alnu";"sl";"1"
"ts02";"loni xylo";"sl";"2a"
"ts02";"pinu sylv";"sl";"+"
"ts02";"rham cath";"sl";"1"
"ts02";"sorb aria";"sl";"2a"
"ts02";"acer pseu";"hl";"3"
"ts02";"anth ramo";"hl";"+"
"ts02";"aqui atra";"hl";"+"
"ts02";"berb vulg";"hl";"+"
"ts02";"buph sali";"hl";"1"
"ts02";"card defl viri";"hl";"1"
"ts02";"care alba";"hl";"2a"
"ts02";"care digi";"hl";"+"
"ts02";"care humi";"hl";"2b"
"ts02";"clem vita";"hl";"+"
"ts02";"conv maja maja";"hl";"1"
"ts02";"corn sang sang";"hl";"+"
"ts02";"cory avel";"hl";"+"
