"plot";"abbr";"layer";"cov";"voucher.flag";"voucher";"sheets";"comment";"history"
"bh01";"arab hirs";"hl";"+";"voucher";"97";;;
"bh01";"acer plat";"hl";"+";;;;;
"bh01";"anth ramo";"hl";"+";;;;;
"bh01";"aspl ruta";"hl";"+";;;;;
"bh01";"berb vulg";"sl";"+";;;;;
"bh01";"brac sylv";"hl";"1";;;;;
"bh01";"cala vari";"hl";"1";;;;;
"bh01";"camp pers";"hl";"+";;;;;
"bh01";"camp rapu";"hl";"2a";;;;;
"bh01";"care alba";"hl";"4";;;;;
"bh01";"care digi";"hl";"1";;;;;
"bh01";"care mont";"hl";"1";;;;;
"bh01";"carp betu";"hl";"+";;;;;
"bh01";"carp betu";"sl";"+";;;;;
"bh01";"carp betu";"tl1";"1";;;;;
"bh01";"carp betu";"tl2";"1";;;;;
"bh01";"ceph rubr";"hl";"+";;;;"cf.";
"bh01";"clem vita";"hl";"+";;;;;
"bh01";"corn sang slat";"hl";"+";"voucher";"100";;;
"bh01";"coto diva";"hl";"r";"voucher";"101";;;
"bh01";"coto tome";"hl";"+";;;;;
"bh01";"crat mono";"sl";"+";;;;;
"bh01";"crat mono";"tl2";"1";;;;;
"bh01";"epip hell slat";"hl";"+";;;;"cf.";" | Changed epip hell To epip hell 2012-11-26 23:01:01 | Changed epip hell To epip hell slat 2012-11-26 23:01:40"
"bh01";"euph dulc";"hl";"+";;;;;
"bh01";"euon euro";"hl";"+";;;;;" | Changed evon euro To euon euro 2012-11-26 23:01:01"
"bh01";"fagu sylv";"hl";"+";;;;;
"bh01";"fagu sylv";"tl1";"3";;;;;
"bh01";"frax exce";"hl";"+";;;;;
"bh01";"gali sylv";"hl";"1";;;;;
"bh01";"geum urba";"hl";"+";;;;;
"bh01";"hede heli";"hl";"1";;;;;
"bh01";"hede heli";"sl";"+";;;;;
"bh01";"hepa nobi";"hl";"2a";;;;;
"bh01";"hier muro";"hl";"1";"voucher";"99";;;
"bh01";"hype mont";"hl";"+";;;;;
"bh01";"hype perf";"hl";"+";;;;;
"bh01";"lath vern";"hl";"2a";;;;;
"bh01";"ligu vulg";"hl";"1";;;;;
"bh01";"ligu vulg";"sl";"1";;;;;
"bh01";"lili mart";"hl";"+";;;;;
"bh01";"loni xylo";"sl";"1";;;;;
"bh01";"meli meli";"hl";"1";;;;;" | Changed meli mell To meli meli 2012-11-26 23:01:01"
"bh01";"meli nuta";"hl";"1";;;;;
"bh01";"merc pere";"hl";"1";;;;;" | Changed mere pere To merc pere 2012-11-26 23:01:01"
"bh01";"lact mura";"hl";"+";;;;;" | Changed myce mura To lact mura 2012-11-26 23:01:01"
"bh01";"phyt spic";"hl";"1";;;;;
"bh01";"pinu sylv";"tl1";"1";;;;;
"bh01";"poa nemo";"hl";"+";;;;;
"bh01";"prim veri veri";"hl";"+";;;;;" | Changed prim veri To prim veri veri 2012-11-26 23:01:01"
"bh01";"prun aviu slat";"hl";"1";;;;;" | Changed prun aviu To prun aviu slat 2012-11-26 23:01:01"
"bh01";"prun spin";"hl";"+";;;;;
"bh01";"pulm offi";"hl";"1";"voucher";"98";;;
"bh01";"quer robu";"hl";"+";;;;;
"bh01";"quer robu";"tl1";"1";;;;;
