"plot";"abbr";"layer";"cov";"voucher.flag";"voucher";"sheets";"history"
"tg33a";"aego poda";"hl";"2a";;;;
"tg33a";"ajug rept";"hl";"+";;;;
"tg33a";"alnu inca";"hl";"1";;;;
"tg33a";"alnu inca";"sl";"2a";;;;
"tg33a";"alnu inca";"tl";"1";;;;
"tg33a";"ange sylv sylv";"hl";"+";;;;" | Changed ange sylv To ange sylv sylv 2012-11-27 16:08:05"
"tg33a";"anth sylv";"hl";"+";;;;
"tg33a";"berb vulg";"hl";"1";;;;
"tg33a";"camp trac";"hl";"1";;;;
"tg33a";"care alba";"hl";"1";;;;
"tg33a";"care digi";"hl";"1";;;;
"tg33a";"chae hirs";"hl";"+";;;;
"tg33a";"chel maju";"hl";"+";;;;
"tg33a";"cirs oler";"hl";"+";;;;
"tg33a";"corn sang slat";"hl";"1";;;;" | Changed corn sang To corn sang slat 2012-11-27 16:08:03"
"tg33a";"corn sang slat";"sl";"1";;;;" | Changed corn sang To corn sang slat 2012-11-27 16:08:03"
"tg33a";"daph meze";"hl";"1";;;;
"tg33a";"desc cesp";"hl";"1";;;;
"tg33a";"elym cani";"hl";"+";;;;
"tg33a";"frax exce";"hl";"+";;;;
"tg33a";"frax exce";"sl";"2a";;;;
"tg33a";"frax exce";"tl";"4";;;;
"tg33a";"gale mont";"hl";"2b";;;;
"tg33a";"hypn cupr";"ml";"2b";;;;
"tg33a";"loni xylo";"hl";"2b";;;;
"tg33a";"loni xylo";"sl";"2b";;;;
"tg33a";"meli nuta";"hl";"+";;;;
"tg33a";"merc pere";"hl";"2b";;;;
"tg33a";"moeh trin";"hl";"+";;;;
"tg33a";"lact mura";"hl";"1";;;;" | Changed myce mura To lact mura 2012-11-27 16:08:07"
"tg33a";"pari quad";"hl";"+";;;;
"tg33a";"peta albu";"hl";"+";;;;
"tg33a";"phyt spic";"hl";"+";;;;
"tg33a";"poa nemo";"hl";"+";;;;
"tg33a";"poly odor";"hl";"+";;;;
"tg33a";"prun padu padu";"hl";"1";;;;" | Changed prun padu To prun padu padu 2012-11-27 16:08:06"
"tg33a";"prun padu padu";"sl";"+";;;;" | Changed prun padu To prun padu padu 2012-11-27 16:08:06"
"tg33a";"rham cath";"hl";"+";;;;
"tg33a";"rubu caes";"hl";"4";;;;
"tg33a";"salv glut";"hl";"1";;;;
"tg33a";"samb nigr";"hl";"r";;;;
"tg33a";"sile dioi";"hl";"+";;;;
"tg33a";"thal aqui";"hl";"+";;;;
"tg33a";"urti dioi dioi";"hl";"+";;;;" | Changed urti dioi To urti dioi dioi 2012-11-27 16:08:07"
"tg33a";"vibu opul";"hl";"+";;;;
"tg33a";"vibu opul";"sl";"+";;;;
"tg33a";"viol hirt";"hl";"+";;;;
"tg33a";"viol reic";"hl";"+";;;;
"tg34a";"achi mill aggr";"hl";"+";;;;" | Changed achi mill m To achi mill aggr 2012-11-27 16:08:03"
"tg34a";"aspe cyna";"hl";"+";;;;
"tg34a";"aste amel";"hl";"+";;;;
"tg34a";"brac rupe";"hl";"2a";;;;
"tg34a";"briz medi";"hl";"+";;;;
"tg34a";"brom erec";"hl";"3";;;;
"tg34a";"buph sali";"hl";"1";;;;
"tg34a";"camp rotu";"hl";"+";;;;
"tg34a";"care cary";"hl";"1";;;;
"tg34a";"care humi";"hl";"1";;;;
"tg34a";"carl acau slat";"hl";"+";;;;" | Changed carl acau To carl acau slat 2012-11-27 16:08:06"
"tg34a";"cent jace jace";"hl";"+";;;;" | Changed cent jace To cent jace jace 2012-11-27 16:08:04"
"tg34a";"erig acri acri";"hl";"+";;;;" | Changed erig acri ac To erig acri acri 2012-11-27 16:08:03"
"tg34a";"fest brev";"hl";"1";"voucher";"27";;
"tg34a";"fest rubr slat";"hl";"+";;;;" | Changed fest rubr r To fest rubr slat 2012-11-27 16:08:05"
"tg34a";"aven prae";"hl";"+";"voucher";"21";;" | Changed heli prae To aven prae 2012-11-27 16:08:05"
"tg34a";"hier bifi";"hl";"+";;;;
"tg34a";"hipp como";"hl";"+";;;;
"tg34a";"lath prat prat";"hl";"+";;;;" | Changed lath prat To lath prat prat 2012-11-27 16:08:04"
"tg34a";"leon hisp slat";"hl";"+";;;;" | Changed leon hisp To leon hisp slat 2012-11-27 16:08:04"
"tg34a";"lotu corn";"hl";"+";;;;
"tg34a";"onon repe proc";"hl";"+";;;;" | Changed onon repe To onon repe proc 2012-11-27 16:08:07"
"tg34a";"pinu sylv";"hl";"+";;;;
"tg34a";"pote pusi";"hl";"+";;;;
"tg34a";"prun gran";"hl";"+";;;;
"tg34a";"salv prat prat";"hl";"+";;;;" | Changed salv prat To salv prat prat 2012-11-27 16:08:04"
"tg34a";"sang mino mino";"hl";"+";;;;" | Changed sang mino mi To sang mino mino 2012-11-27 16:08:06"
"tg34a";"thal minu slat";"hl";"+";;;;" | Changed thal minu To thal minu slat 2012-11-27 16:08:05"
"tg34a";"tort tort";"ml";"+";;;;
"tg34a";"trif medi medi";"hl";"2a";;;;" | Changed trif medi To trif medi medi 2012-11-27 16:08:06"
"tg34a";"vici crac";"hl";"+";;;;
"tg35a";"aqui atra";"hl";"+";;;;
"tg35a";"arte vulg";"hl";"+";;;;
"tg35a";"berb vulg";"hl";"+";;;;
"tg35a";"berb vulg";"sl";"+";;;;
"tg35a";"care alba";"hl";"+";;;;
"tg35a";"care digi";"hl";"2m";;;;
"tg35a";"care poly";"hl";"+";;;;" | Changed care muri To care poly 2012-11-27 16:08:07"
"tg35a";"cirs arve";"hl";"+";;;;
"tg35a";"clem vita";"hl";"r";;;;
"tg35a";"clem vita";"sl";"r";;;;
"tg35a";"corn sang slat";"hl";"2m";;;;" | Changed corn sang To corn sang slat 2012-11-27 16:08:03"
"tg35a";"corn sang slat";"sl";"+";;;;" | Changed corn sang To corn sang slat 2012-11-27 16:08:03"
"tg35a";"crat mono";"hl";"+";;;;
"tg35a";"dact glom glom";"hl";"+";;;;" | Changed dact glom To dact glom glom 2012-11-27 16:12:26"
"tg35a";"epip hell slat";"hl";"+";;;;" | Changed epip hell To epip hell slat 2012-11-27 16:08:03"
"tg35a";"erig annu slat";"hl";"+";;;;" | Changed erig annu To erig annu slat 2012-11-27 16:08:03"
"tg35a";"frag vesc";"hl";"2b";;;;
"tg35a";"gali albu";"hl";"1";;;;
"tg35a";"gera robe";"hl";"1";;;;
"tg35a";"hier lach";"hl";"+";;;;
"tg35a";"juni comm comm";"hl";"+";;;;" | Changed juni comm c To juni comm comm 2012-11-27 16:08:03"
"tg35a";"ligu vulg";"hl";"+";;;;
"tg35a";"loni xylo";"hl";"1";;;;
"tg35a";"lact mura";"hl";"+";;;;" | Changed myce mura To lact mura 2012-11-27 16:08:07"
"tg35a";"part inse";"hl";"+";;;;
"tg35a";"pice abie";"hl";"+";;;;
"tg35a";"picr hier slat";"hl";"+";;;;" | Changed picr hier To picr hier slat 2012-11-27 16:08:05"
"tg35a";"pinu sylv";"tl";"2a";;;;
"tg35a";"plan majo majo";"hl";"+";;;;" | Changed plan majo m To plan majo majo 2012-11-27 16:08:06"
"tg35a";"poa nemo";"hl";"1";;;;
"tg35a";"pote rept";"hl";"+";;;;
"tg35a";"prun padu padu";"hl";"1";;;;" | Changed prun padu To prun padu padu 2012-11-27 16:08:06"
"tg35a";"ranu nemo";"hl";"+";;;;
"tg35a";"rham cath";"hl";"+";;;;
"tg35a";"ribe rubr";"hl";"r";;;;
"tg35a";"rubu caes";"hl";"1";;;;
"tg35a";"sali alba";"sl";"+";;;;
"tg35a";"sali alba";"tl";"4";;;;
"tg35a";"sali purp";"tl";"1";;;;
"tg35a";"samb nigr";"hl";"+";;;;
"tg35a";"samb nigr";"sl";"1";;;;
"tg35a";"soli cana";"hl";"+";;;;
"tg35a";"sorb aucu aucu";"hl";"+";;;;" | Changed sorb aucu To sorb aucu aucu 2012-11-27 16:08:07"
"tg35a";"trif prat prat";"hl";"+";;;;" | Changed trif prat p To trif prat prat 2012-11-27 16:12:27"
"tg35a";"vici crac";"hl";"+";;;;
"tg35a";"vici sepi";"hl";"+";;;;
"tg36a";"achi mill aggr";"hl";"1";;;;" | Changed achi mill m To achi mill aggr 2012-11-27 16:08:03"
"tg36a";"anth sylv";"hl";"+";;;;
"tg36a";"arrh elat";"hl";"2a";;;;
"tg36a";"care hirt";"hl";"+";;;;
"tg36a";"caru carv";"hl";"+";;;;
"tg36a";"cent jace jace";"hl";"+";;;;" | Changed cent jace To cent jace jace 2012-11-27 16:08:04"
"tg36a";"chen albu slat";"hl";"+";;;;" | Changed chen albu To chen albu slat 2012-11-27 16:08:07"
"tg36a";"cirs arve";"hl";"+";;;;
"tg36a";"cirs oler";"hl";"1";;;;
"tg36a";"cyno cris";"hl";"+";;;;
"tg36a";"dact glom glom";"hl";"3";;;;" | Changed dact glom To dact glom glom 2012-11-27 16:12:26"
"tg36a";"dauc caro caro";"hl";"1";;;;" | Changed dauc caro To dauc caro caro 2012-11-27 14:15:27"
"tg36a";"gale bifi";"hl";"+";;;;
"tg36a";"gali veru";"hl";"+";;;;
"tg36a";"hera spho spho";"hl";"1";;;;" | Changed hera spho s To hera spho spho 2012-11-27 16:12:27"
"tg36a";"loli pere";"hl";"1";;;;
"tg36a";"past sati sati";"hl";"+";;;;" | Changed past sati To past sati sati 2012-11-27 16:08:07"
"tg36a";"phle prat";"hl";"+";;;;
"tg36a";"picr hier slat";"hl";"2m";;;;" | Changed picr hier To picr hier slat 2012-11-27 16:08:05"
"tg36a";"pimp majo majo";"hl";"1";;;;" | Changed pimp majo To pimp majo majo 2012-11-27 16:08:04"
"tg36a";"plan majo majo";"hl";"+";;;;" | Changed plan majo m To plan majo majo 2012-11-27 16:08:06"
"tg36a";"poa nemo";"hl";"1";;;;
"tg36a";"pote erec";"hl";"+";;;;
"tg36a";"ranu acri acri";"hl";"+";;;;" | Changed ranu acri To ranu acri acri 2012-11-27 16:08:04"
"tg36a";"rume obtu obtu";"hl";"+";;;;" | Changed rume obtu To rume obtu obtu 2012-11-27 16:08:07"
"tg36a";"stel gram";"hl";"+";;;;
"tg36a";"stel medi";"hl";"+";;;;
"tg36a";"tara sect rude";"hl";"1";;;;" | Changed tara offi To tara sect rude 2012-11-27 16:08:04"
"tg36a";"trif prat prat";"hl";"1";;;;" | Changed trif prat p To trif prat prat 2012-11-27 16:12:27"
"tg36a";"trif repe repe";"hl";"1";;;;
"tg36a";"urti dioi dioi";"hl";"1";;;;" | Changed urti dioi To urti dioi dioi 2012-11-27 16:08:07"
"tg36a";"vici sepi";"hl";"+";;;;
"tg37a";"achn cala";"hl";"1";;;;
"tg37a";"alnu inca";"hl";"+";;;;
"tg37a";"alnu inca";"sl";"2b";;;;
"tg37a";"ange sylv sylv";"hl";"+";;;;" | Changed ange sylv To ange sylv sylv 2012-11-27 16:08:05"
"tg37a";"brac pinn";"hl";"1";;;;
"tg37a";"brac rupe";"hl";"2b";;;;
"tg37a";"buph sali";"hl";"1";;;;
"tg37a";"camp patu";"hl";"+";;;;
"tg37a";"card defl viri";"hl";"+";;;;" | Changed card defl To card defl viri 2012-11-27 16:08:03"
"tg37a";"care alba";"hl";"+";;;;
"tg37a";"care digi";"hl";"+";;;;
"tg37a";"care mont";"hl";"+";;;;
"tg37a";"care orni";"hl";"+";;;;
"tg37a";"carl vulg vulg";"hl";"2m";;;;" | Changed carl vulg To carl vulg vulg 2012-11-27 16:08:03"
"tg37a";"caru carv";"hl";"+";;;;
"tg37a";"cent jace jace";"hl";"+";;;;" | Changed cent jace To cent jace jace 2012-11-27 16:08:04"
"tg37a";"cirs arve";"hl";"+";;;;
"tg37a";"clin vulg vulg";"hl";"+";;;;" | Changed clin vulg To clin vulg vulg 2012-11-27 16:08:07"
"tg37a";"corn sang slat";"hl";"+";;;;" | Changed corn sang To corn sang slat 2012-11-27 16:08:03"
"tg37a";"dauc caro caro";"hl";"+";;;;" | Changed dauc caro To dauc caro caro 2012-11-27 14:15:27"
"tg37a";"eric carn";"hl";"1";;;;" | Changed eric herb To eric carn 2012-11-27 16:08:03"
"tg37a";"frag vesc";"hl";"2a";;;;
"tg37a";"fran alnu";"hl";"+";;;;
"tg37a";"fran alnu";"sl";"+";;;;
"tg37a";"gali veru";"hl";"+";;;;
"tg37a";"gera robe";"hl";"+";;;;
"tg37a";"gymn cono cono";"hl";"+";;;;" | Changed gymn cono To gymn cono cono 2012-11-27 16:08:05"
"tg37a";"hier lach";"hl";"3";;;;
"tg37a";"hier pilo ella";"hl";"2b";;;;" | Changed hier pila To hier pilo ella 2012-11-27 16:08:07"
"tg37a";"hier muro";"hl";"+";;;;" | Changed hier sylv To hier muro 2012-11-27 16:08:03"
"tg37a";"leon hisp hyos";"hl";"+";"voucher";"19";;" | Changed leon hyos To leon hisp hyos 2012-11-27 16:08:07"
"tg37a";"linu cath";"hl";"+";;;;
"tg37a";"loni xylo";"hl";"+";;;;
"tg37a";"lotu corn";"hl";"+";;;;
"tg37a";"medi lupu";"hl";"+";;;;
"tg37a";"parn palu";"hl";"+";;;;
"tg37a";"cerv rivi";"hl";"+";;;;" | Changed peuc cerv To cerv rivi 2012-11-27 16:08:06"
"tg37a";"peuc oreo";"hl";"+";;;;
"tg37a";"phyt orbi";"hl";"+";;;;
"tg37a";"picr hier slat";"hl";"+";;;;" | Changed picr hier To picr hier slat 2012-11-27 16:08:05"
"tg37a";"pimp majo majo";"hl";"+";;;;" | Changed pimp majo To pimp majo majo 2012-11-27 16:08:04"
"tg37a";"pimp saxi slat";"hl";"+";;;;" | Changed pimp saxi To pimp saxi slat 2012-11-27 16:08:06"
"tg37a";"pinu sylv";"hl";"2a";;;;
"tg37a";"pinu sylv";"sl";"2b";;;;
"tg37a";"pote erec";"hl";"1";;;;
"tg37a";"prun gran";"hl";"+";;;;
"tg37a";"pter aqui";"hl";"+";;;;
"tg37a";"ranu nemo";"hl";"+";;;;
"tg37a";"sali elea elea";"sl";"+";;;;" | Changed sali elea To sali elea elea 2012-11-27 16:08:07"
"tg37a";"sali myrs";"hl";"+";;;;
"tg37a";"sali purp";"sl";"1";;;;
"tg37a";"sang mino bale";"hl";"+";;;;" | Changed sang mino mu To sang mino bale 2012-11-27 16:08:07"
"tg37a";"sola dulc";"hl";"r";;;;
"tg37a";"soli cana";"hl";"+";;;;
"tg37a";"thym prae prae";"hl";"+";;;;" | Changed thym prae To thym prae prae 2012-11-27 16:08:07"
"tg37a";"tofi caly";"hl";"+";;;;
"tg37a";"tort tort";"ml";"3";;;;
"tg37a";"trif mont mont";"hl";"+";;;;" | Changed trif mont To trif mont mont 2012-11-27 16:08:06"
"tg37a";"tuss farf";"hl";"2a";;;;
"tg37a";"vero offi";"hl";"+";;;;
"tg37a";"vici crac";"hl";"+";;;;
"tg38a";"achi mill aggr";"hl";"+";;;;" | Changed achi mill m To achi mill aggr 2012-11-27 16:08:03"
"tg38a";"anth odor";"hl";"1";;;;
"tg38a";"homa pube pube";"hl";"+";;;;" | Changed aven pube To homa pube pube 2012-11-27 16:08:03"
"tg38a";"briz medi";"hl";"1";;;;
"tg38a";"call cusp";"ml";"3";;;;
"tg38a";"camp stel";"ml";"1";;;;
"tg38a";"care dava";"hl";"+";;;;
"tg38a";"care elat";"hl";"2a";;;;
"tg38a";"care flac";"hl";"+";;;;
"tg38a";"care pani";"hl";"1";;;;
"tg38a";"care pani pani";"hl";"1";;;;" | Changed care pann To care pani pani 2012-11-27 16:08:06"
"tg38a";"caru carv";"hl";"+";;;;
"tg38a";"colc autu";"hl";"+";;;;
"tg38a";"equi palu";"hl";"+";;;;
"tg38a";"euph offi rost";"hl";"+";;;;" | Changed euph rost To euph offi rost 2012-11-27 16:08:04"
"tg38a";"fest prat prat";"hl";"2m";;;;" | Changed fest prat To fest prat prat 2012-11-27 16:08:04"
"tg38a";"fest rubr slat";"hl";"2b";;;;" | Changed fest rubr r To fest rubr slat 2012-11-27 16:08:05"
"tg38a";"gali palu palu";"hl";"+";;;;" | Changed gali palu To gali palu palu 2012-11-27 16:08:05"
"tg38a";"gali ulig";"hl";"+";;;;
"tg38a";"geum riva";"hl";"+";;;;
"tg38a";"holc lana";"hl";"1";;;;
"tg38a";"knau arve arve";"hl";"+";;;;" | Changed knau arve To knau arve arve 2012-11-27 16:08:04"
"tg38a";"leuc ircu";"hl";"+";;;;
"tg38a";"lotu corn";"hl";"1";;;;
"tg38a";"lych flos cucu";"hl";"2a";;;;" | Changed lych flos To lych flos cucu 2012-11-27 16:08:06"
"tg38a";"moli caer aggr";"hl";"1";;;;" | Changed moli caer a To moli caer aggr 2012-11-27 16:08:05"
"tg38a";"myos palu aggr";"hl";"+";;;;" | Changed myos palu To myos palu aggr 2012-11-27 16:08:07"
"tg38a";"phra aust";"hl";"2m";;;;
"tg38a";"pimp majo majo";"hl";"+";;;;" | Changed pimp majo To pimp majo majo 2012-11-27 16:08:04"
"tg38a";"plan lanc";"hl";"+";;;;
"tg38a";"pers vivi";"hl";"2m";;;;" | Changed poly vivi To pers vivi 2012-11-27 16:08:06"
"tg38a";"prun vulg";"hl";"+";;;;
"tg38a";"ranu acri acri";"hl";"2a";;;;" | Changed ranu acri To ranu acri acri 2012-11-27 16:08:04"
"tg38a";"tome nite";"ml";"1";;;;
"tg38a";"trif dubi";"hl";"+";;;;
"tg38a";"trif prat prat";"hl";"2a";;;;" | Changed trif prat p To trif prat prat 2012-11-27 16:12:27"
"tg38a";"trif repe repe";"hl";"2m";;;;
"tg39a";"ajug rept";"hl";"+";;;;
"tg39a";"alnu inca";"hl";"+";;;;
"tg39a";"alnu inca";"sl";"2a";;;;
"tg39a";"alnu inca";"tl";"3";;;;
"tg39a";"calt palu";"hl";"2a";;;;
"tg39a";"card amar aust";"hl";"+";;;;" | Changed card amar To card amar aust 2012-11-27 16:08:07"
"tg39a";"care acut a";"hl";"2a";;;;" | Changed care grac To care acut a 2012-11-27 16:08:07"
"tg39a";"chel maju";"hl";"+";;;;
"tg39a";"cirs oler";"hl";"1";;;;
"tg39a";"corn sang slat";"sl";"+";;;;" | Changed corn sang To corn sang slat 2012-11-27 16:08:03"
"tg39a";"cory avel";"sl";"1";;;;
"tg39a";"equi arve";"hl";"+";;;;
"tg39a";"equi palu";"hl";"+";;;;
"tg39a";"fest arun slat";"hl";"+";;;;" | Changed fest arun To fest arun slat 2012-11-27 16:08:07"
"tg39a";"fili ulma slat";"hl";"2b";;;;" | Changed fili ulma u To fili ulma slat 2012-11-27 16:08:07"
"tg39a";"fran alnu";"hl";"+";;;;
"tg39a";"fran alnu";"sl";"+";;;;
"tg39a";"gali albu";"hl";"1";;;;
"tg39a";"gera robe";"hl";"+";;;;
"tg39a";"geum riva";"hl";"+";;;;
"tg39a";"lari deci deci";"sl";"+";;;;" | Changed lari deci To lari deci deci 2012-11-27 16:08:03"
"tg39a";"ligu vulg";"sl";"+";;;;
"tg39a";"loni xylo";"hl";"+";;;;
"tg39a";"loni xylo";"sl";"1";;;;
"tg39a";"ment aqua";"hl";"+";;;;
"tg39a";"myos palu aggr";"hl";"+";;;;" | Changed myos palu To myos palu aggr 2012-11-27 16:08:07"
"tg39a";"phra aust";"hl";"3";;;;
"tg39a";"pinu sylv";"tl";"1";;;;
"tg39a";"poa triv";"hl";"+";;;;
"tg39a";"popu trem";"sl";"+";;;;
"tg39a";"prun padu padu";"hl";"+";;;;" | Changed prun padu To prun padu padu 2012-11-27 16:08:06"
"tg39a";"prun padu padu";"sl";"1";;;;" | Changed prun padu To prun padu padu 2012-11-27 16:08:06"
"tg39a";"rubu sect rubu";"hl";"+";;;;" | Changed rubu frut To rubu sect rubu 2012-11-27 16:08:06"
"tg39a";"sali capr";"sl";"+";;;;
"tg39a";"sali elea elea";"hl";"+";;;;" | Changed sali elea To sali elea elea 2012-11-27 16:08:07"
"tg39a";"sali elea elea";"sl";"2a";;;;" | Changed sali elea To sali elea elea 2012-11-27 16:08:07"
"tg39a";"sali elea elea";"tl";"2a";;;;" | Changed sali elea To sali elea elea 2012-11-27 16:08:07"
"tg39a";"sali myrs";"sl";"2a";;;;
"tg39a";"sali purp";"hl";"+";;;;
"tg39a";"sali purp";"sl";"2a";;;;
"tg39a";"samb nigr";"sl";"2b";;;;
"tg39a";"urti dioi dioi";"hl";"1";;;;" | Changed urti dioi To urti dioi dioi 2012-11-27 16:08:07"
"tg39a";"vale offi offi";"hl";"+";;;;" | Changed vale offi To vale offi offi 2012-11-27 16:08:07"
"tg39a";"vici sepi";"hl";"+";;;;
"tg39b";"aego poda";"hl";"1";;;;
"tg39b";"arrh elat";"hl";"+";;;;
"tg39b";"calt palu";"hl";"2a";;;;
"tg39b";"card amar aust";"hl";"1";;;;" | Changed card amar To card amar aust 2012-11-27 16:08:07"
"tg39b";"care acut a";"hl";"1";;;;" | Changed care grac To care acut a 2012-11-27 16:08:07"
"tg39b";"care rost";"hl";"+";;;;
"tg39b";"chel maju";"hl";"+";;;;
"tg39b";"cirs oler";"hl";"1";;;;
"tg39b";"corn sang slat";"sl";"3";;;;" | Changed corn sang To corn sang slat 2012-11-27 16:08:03"
"tg39b";"cory avel";"sl";"+";;;;
"tg39b";"equi arve";"hl";"1";;;;
"tg39b";"equi fluv";"hl";"+";;;;
"tg39b";"fest prat prat";"hl";"+";;;;" | Changed fest prat To fest prat prat 2012-11-27 16:08:04"
"tg39b";"fili ulma slat";"hl";"2m";;;;" | Changed fili ulma u To fili ulma slat 2012-11-27 16:08:07"
"tg39b";"frax exce";"sl";"2a";;;;
"tg39b";"frax exce";"tl";"1";;;;
"tg39b";"gali albu";"hl";"+";;;;
"tg39b";"glyc nota";"hl";"+";;;;
"tg39b";"lari deci deci";"tl";"2a";;;;" | Changed lari deci To lari deci deci 2012-11-27 16:08:03"
"tg39b";"lath prat prat";"hl";"+";;;;" | Changed lath prat To lath prat prat 2012-11-27 16:08:04"
"tg39b";"ligu vulg";"hl";"1";;;;
"tg39b";"ligu vulg";"sl";"1";;;;
"tg39b";"myos palu aggr";"hl";"+";;;;" | Changed myos palu To myos palu aggr 2012-11-27 16:08:07"
"tg39b";"pice abie";"hl";"+";;;;
"tg39b";"pice abie";"tl";"+";;;;
"tg39b";"pinu sylv";"tl";"2a";;;;
"tg39b";"poa triv";"hl";"+";;;;
"tg39b";"popu trem";"sl";"+";;;;
"tg39b";"popu trem";"tl";"+";;;;
"tg39b";"prun padu padu";"sl";"2a";;;;" | Changed prun padu To prun padu padu 2012-11-27 16:08:06"
"tg39b";"ranu acri acri";"hl";"+";;;;" | Changed ranu acri To ranu acri acri 2012-11-27 16:08:04"
"tg39b";"rosa cory";"sl";"r";;;;
"tg39b";"rubu caes";"hl";"2b";;;;
"tg39b";"rubu sect rubu";"hl";"1";;;;" | Changed rubu frut To rubu sect rubu 2012-11-27 16:08:06"
"tg39b";"sali alba";"sl";"2b";;;;
"tg39b";"sali alba";"tl";"1";;;;
"tg39b";"sali myrs";"hl";"1";;;;
"tg39b";"sali myrs";"sl";"2a";;;;
"tg39b";"sali purp";"hl";"1";;;;
"tg39b";"sali purp";"sl";"2a";;;;
"tg39b";"samb nigr";"sl";"2b";;;;
"tg39b";"scir sylv";"hl";"1";;;;
"tg39b";"vero anag tica";"hl";"2m";;;;" | Changed vero anag To vero anag tica 2012-11-27 16:08:08"
"tg39b";"vero becc";"hl";"+";;;;
"tg39b";"vici sepi";"hl";"+";;;;
"tg3a";"amel oval";"hl";"+";;;;
"tg3a";"amel oval";"sl";"+";;;;
"tg3a";"anth ramo";"hl";"+";;;;
"tg3a";"berb vulg";"hl";"1";;;;
"tg3a";"berb vulg";"sl";"1";;;;
"tg3a";"brac rupe";"hl";"2m";;;;
"tg3a";"camp rotu";"hl";"+";;;;
"tg3a";"care alba";"hl";"2m";;;;
"tg3a";"care humi";"hl";"1";;;;
"tg3a";"corn sang slat";"hl";"+";;;;" | Changed corn sang To corn sang slat 2012-11-27 16:08:03"
"tg3a";"cory avel";"hl";"+";;;;
"tg3a";"crat mono";"hl";"+";;;;
"tg3a";"dory germ";"hl";"+";;;;
"tg3a";"epip atro";"hl";"r";;;;
"tg3a";"epip hell atro";"hl";"+";;;;" | Changed epip x sc To epip hell atro 2012-11-27 16:08:06"
"tg3a";"eric carn";"hl";"5";;;;" | Changed eric herb To eric carn 2012-11-27 16:08:03"
"tg3a";"euph cypa";"hl";"+";;;;
"tg3a";"frag mosc";"hl";"+";;;;
"tg3a";"fran alnu";"hl";"+";;;;
"tg3a";"fran alnu";"sl";"+";;;;
"tg3a";"gali bore";"hl";"+";;;;
"tg3a";"gali luci";"hl";"+";;;;
"tg3a";"hier bifi";"hl";"+";;;;
"tg3a";"hier muro";"hl";"+";;;;" | Changed hier sylv To hier muro 2012-11-27 16:08:03"
"tg3a";"hypn cupr";"ml";"3";;;;
"tg3a";"jugl regi";"hl";"+";;;;
"tg3a";"jugl regi";"sl";"+";;;;
"tg3a";"juni comm comm";"hl";"2m";;;;" | Changed juni comm c To juni comm comm 2012-11-27 16:08:03"
"tg3a";"juni comm comm";"sl";"1";;;;" | Changed juni comm c To juni comm comm 2012-11-27 16:08:03"
"tg3a";"ligu vulg";"hl";"+";;;;
"tg3a";"loni xylo";"hl";"+";;;;
"tg3a";"loni xylo";"sl";"+";;;;
"tg3a";"mela prat";"hl";"2a";;;;
"tg3a";"meli nuta";"hl";"+";;;;
"tg3a";"peuc oreo";"hl";"+";;;;
"tg3a";"pice abie";"hl";"r";;;;
"tg3a";"pice abie";"sl";"r";;;;
"tg3a";"pinu sylv";"hl";"+";;;;
"tg3a";"pinu sylv";"sl";"+";;;;
"tg3a";"pinu sylv";"tl";"4";;;;
"tg3a";"pleu schr";"ml";"2b";;;;
"tg3a";"poly cham";"hl";"1";;;;
"tg3a";"pote erec";"hl";"+";;;;
"tg3a";"rham saxa saxa";"hl";"+";;;;" | Changed rham saxa To rham saxa saxa 2012-11-27 16:08:08"
"tg3a";"rhyt triq";"ml";"2a";;;;
"tg3a";"rosa rubi";"hl";"r";;;;
"tg3a";"sesl caer";"hl";"2m";;;;" | Changed sesl vari To sesl caer 2012-11-27 16:08:05"
"tg3a";"sorb aria";"hl";"+";;;;
"tg3a";"vibu lant";"hl";"+";;;;
"tg3a";"vinc hiru";"hl";"+";;;;
"tg3b";"achn cala";"hl";"2a";;;;
"tg3b";"alnu inca";"hl";"+";;;;
"tg3b";"alnu inca";"sl";"+";;;;
"tg3b";"alnu inca";"tl";"r";;;;
"tg3b";"amel oval";"hl";"1";;;;
"tg3b";"amel oval";"sl";"1";;;;
"tg3b";"anth ramo";"hl";"+";;;;
"tg3b";"betu pend";"hl";"+";;;;
"tg3b";"betu pend";"sl";"r";;;;
"tg3b";"buph sali";"hl";"+";;;;
"tg3b";"care alba";"hl";"+";;;;
"tg3b";"care digi";"hl";"+";;;;
"tg3b";"care humi";"hl";"2b";;;;
"tg3b";"care orni";"hl";"+";;;;
"tg3b";"carl vulg vulg";"hl";"+";;;;" | Changed carl vulg To carl vulg vulg 2012-11-27 16:08:03"
"tg3b";"dory germ";"hl";"+";;;;
"tg3b";"drya octo";"hl";"+";;;;
"tg3b";"epip atro";"hl";"+";;;;
"tg3b";"epip hell atro";"hl";"+";;;;" | Changed epip x sc To epip hell atro 2012-11-27 16:08:06"
"tg3b";"eric carn";"hl";"4";;;;" | Changed eric herb To eric carn 2012-11-27 16:08:03"
"tg3b";"euph sali";"hl";"+";;;;
"tg3b";"fran alnu";"hl";"1";;;;
"tg3b";"fran alnu";"sl";"+";;;;
"tg3b";"gali bore";"hl";"1";;;;
"tg3b";"gali luci";"hl";"+";;;;
"tg3b";"glob cord";"hl";"+";;;;
"tg3b";"hier bifi";"hl";"1";;;;
"tg3b";"hier pilo ides";"hl";"+";;;;" | Changed hier pilo To hier pilo ides 2012-11-27 16:08:08"
