plot;cov;t1cov;t2cov;scov;hcov;mcov;htl1;htl2;hsl;hhl1;hhl2;plsx;plsy;expo;slope;rock;bare;soil;date;latitude;longitude;accuracy;alliance;syntaxon;comment
mh01;;;;;;;;;;;;;;;;;;;2014-07-02;47.766761;13.055443;10;Carpinion-betuli;;
mh02;;;;;;;;;;;;;;;;;;;2014-07-02;47.765763;13.053278;10;Tilio-Acerion;;
mh03;;;;;;;;;;;;;;;;;;;2014-07-02;47.765509;13.052270;10;Tilio-Acerion;;
mh04;;;;;;;;;;;;;;;;;;;2014-07-02;47.765471;13.051407;10;Tilio-Acerion;;
mh05;;;;;;;;;;;;;;;;;;;2014-07-02;47.765617;13.051489;10;Tilio-Acerion;;
