plot;cov;t1cov;t2cov;scov;hcov;mcov;htl1;htl2;hsl;hhl1;hhl2;plsx;plsy;expo;slope;rock;bare;stones;date;latitude;longitude;accuracy;alliance;association;soil;comment;location
sfx1;;;;;;;;;;;;;;;;;;;;47.746503;12.884060;;;;;;
sfx2;;;;;;;;;;;;;;;;;;;;47.746443;12.885039;;;;;;
sfx3;;;;;;;;;;;;;;;;;;;;47.746742;12.885616;;;;;;
sfx4;;;;;;;;;;;;;;;;;;;;47.746472;12.886105;;;;;;
sfx5;;;;;;;;;;;;;;;;;;;;47.746265;12.887388;;;;;;
sfx6;;;;;;;;;;;;;;;;;;;;47.746076;12.888214;;;;;;
