plot;abbr;typical.sample;physiognomy;soil;soil.depth;soil.comment;snowmelt;moisture;comment;cov;tcov1;tcov2;scov;hcov;mcov;htl1;htl2;hsl;hhl1;hhl2;plsx;plsy;expo;slope;rock;stones;bare;date;altitude;precision.vertical;precision.horizontal;latitude;longitude
wf43;ses car sem cet isl;;;;;;intermediate;;ebenmäßiger Hang, ohne Buckel;99;0;0;0;99;1;0;0;0;0,3;0,1;4;4;SW;20;0;0;1;2011-08-11;2118;8,7;6,3;47.224592N;13.465657E
wf44;unc smp;;;;;;intermediate;;;92;0;0;0;90;3;0;0;0;0,3;0,05;4;4;N;5;0;1;7;2011-08-11;2127;14,2;6,5;47.225021N;13.465967E
wf45;unc smp;;;;;;late;;;93;0;0;0;85;25;0;0;0;0,5;0,02;4;4;F;0;0;0;7;2011-08-11;2120;12,8;5,8;47.223958N;13.466153E
wf46;des ces poe alp;;;Rasenbraunerde;deep;;intermediate;;;98;0;0;0;92;20;0;0;0;0,8;0,1;4;4;SE;3;0;0;2;2011-09-16;2201;11,1;7,3;47.219732N;13.461982E
wf47;cam pul ach atr;;;Syrosem;shallow;;late;;;35;0;0;0;34;2;0;0;0;0,25;0,05;4;4;S;20;2;50;13;2011-09-16;2207;11,3;6,4;47.220359N;13.464197E
wf48;pot dub hom dis;;;Rendzina;intermediate;;late;;;95;0;0;0;80;75;0;0;0;0,25;0,03;4;4;SSE;25;0;1;4;2011-09-16;2210;14,3;11,4;47.220518N;13.464560E
wf49;cre ter;;;Syrosem;very shallow;grusig;early;;Mit 2 gereiften Flecken;20;0;0;0;17;5;0;0;0;0,1;0,04;4;4;WSW;5;0;80;0;2011-09-17;2218;9,4;6,6;47.220764N;13.463212E
wf50;car fir pal com;;;Protorendzina und sandig lehmiger Rohboden;shallow;fluviatil und/oder aeolisch umgelagerte, humusfreie und verbackene „Schluffig-Sandige Schwemmböden“;late;;nahezu keine Moose!;40;0;0;0;40;1;0;0;0;0,3;0,05;4;4;E;5;0;15;45;2011-09-17;2164;14,8;6,8;47.221391N;13.466388E
wf51;unc smp;;;;;;late;;Schneeboden-Buckelwiese ohne Lois proc;99;0;0;0;80;80;0;0;0;0,6;0,05;4;4;NNE;10;0;0;1;2011-09-17;2196;9,9;7,3;47.221716N;13.462689E
wf52;unc smp;;;;;;intermediate;;Buckelwiese, leichte Trittspuren, kaum Erdflechten weil viele Moose;97;0;0;0;85;60;0;0;0;0,65;0,05;4;4;WNW;10;1;0;2;2011-09-17;2210;13,6;7,5;47.220835N;13.462987E
wf53;ses car sem cet isl;;;;;;late;;Übergang Dryas-Firmetum zu schneereichem Seslerio-Semperviretum, sanft buckelig;97;0;0;0;93;15;0;0;0;0,35;0,05;4;4;N;5;0;0;3;2011-09-17;2171;6,5;4,8;47.221421N;13.466022E
wf54;car fir pal com;;;Protorendzina und sandig lehmiger Rohboden;shallow;;late;;in der Umbegung (v.a. Unterhalb) reines Firmetum + Dryas, oberhalb mehr Blaugras und z.T. Geschlossen, keine Moosdecken und Schneebodenelemente in Zwischenräumen;54;0;0;0;50;1;0;0;0;0,25;0,1;4;4;N;5;0;10;40;2011-09-17;2163;6,9;5,5;47.222287N;13.466407E
wf55;unc smp;;;;;;intermediate;;Buckelwiese mit viel Lois proc und N-Zeigern in Schlenken, wenige Arten des Seslerio-Semperviretum, entspricht Typ 10;97;0;0;0;95;10;0;0;0;0,5;0,05;4;4;NE;3;0;0;3;2011-09-17;2142;9,6;4,7;47.222751N;13.467187E
wf56;ses car sem cet isl;;;;;;intermediate;;;98;0;0;0;93;40;0;0;0;0,4;0,1;4;4;NNW;20;0;0;2;2011-09-17;2142;7,7;4;47.222988N;13.466993E
wf57;unc smp;;;Moder-Rendzina;deep;;intermediate;;cf. loi cet sol pus;98;0;0;0;85;30;0;0;0;0,7;0,1;4;4;0;0;0;0;2;2011-09-17;2145;7,3;4,4;47.224424N;13.467972E
wf58;phy con loi pro;;;Proto-Ranker;shallow;;early;;;60;0;0;0;55;15;0;0;0;0,1;0,03;4;4;0;0;0;37;3;2011-09-17;2143;10,2;8,2;47.222908N;13.470106E
wf59;car fir vul tub;;;Rendzina;shallow;;early;;stark windgefegter niedriger Rücken mit Flechten-reichem Polsterseggenrasen auf steiler S-Flanke;97;0;0;0;50;45;0;0;0;0,15;0,05;4;4;SW;30;1;1;1;2011-09-17;2095;10;10;47.223098N;13.469285E
wf60;;;;;;;;;recoded wt1a to wf60;92;0;0;0;85;12;1;1;1;0,1;0,02;6;6;E;8;;;;2009-07-22;2205;10;10;47.220620N;13.460519E
wf61;;;;;;;;;recoded wt2a to wf61;97;0;0;0;94;10;2;2;2;0,1;0,02;6;6;NW;15;;;;2009-07-22;2175;10;10;47.219967N;13.463094E
wf62;;;;;;;;;recoded wt2b to wf62;45;0;0;0;45;5;3;3;3;0,05;0,02;4;4;S;15;;;;2009-07-22;2172;10;10;47.219905N;13.463273E
wf63;;;;;;;;;recoded wt3a to wf63;98;0;0;0;96;8;4;4;4;0,15;0,05;7;7;NW;15;;;;2009-07-22;2145;10;10;47.221910N;13.462772E
wf64;;;;;;;;;recoded wt4a to wf64;97;0;0;0;95;15;5;5;5;0,15;0,03;5;5;E;0;;;;2009-07-11;2111;10;10;47.222331N;13.465412E
wf65;;;;;;;;;recoded wt4b to wf65;99;0;0;0;87;35;6;6;6;0,08;0,02;4;2,5;NW;15;;;;2009-07-11;9999;10;10;47.222408N;13.465395E
wf66;;;;;;;;;recoded wt5a to wf67;93;0;0;0;93;15;7;7;7;0,15;0,03;5;5;E;20;;;;2009-07-11;2080;10;10;47.223366N;13.468860E
wf67;;;;;;;;;recoded wt6a to wf66;90;0;0;0;80;40;8;8;8;0,1;0,02;7;3,5;E;0;;;;2009-07-11;2102;10;10;47.224644N;13.465988E
wf68;;;;;;;;;recoded wt7a to wf68;93;0;0;0;85;30;9;9;9;0,15;0,02;7;7;W;20;;;;2009-07-22;2087;10;10;47.225673N;13.468296E
wf69;;;;;;;;;recoded wt8a to wf69;98;0;0;0;95;60;10;10;10;0,1;0,03;4;4;NW;20;;;;2009-07-11;2078;10;10;47.226778N;13.465630E
wf70;;;;;;;;;recoded wt8b to wf70;98;0;0;0;96;15;11;11;11;0,2;0,05;7;7;W;5;;;;2009-07-11;9999;10;10;47.226821N;13.465725E
